id,post_id,content,source,collected_at,content_anonymized
1,1,"Y chang luôn, nơi duy nhất để thi hành án là trên giường, tay phải để phía trên đầu, chỉ đánh vào mông, hỏi lỗi khi bình tĩnh và phân tích khi biết lỗi. Nên mình chưa bao giờ thấy ấm ức hay không phục sau đó cả. Mình cực thích cách giáo dục này của ba mẹ mình",https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,"Y chang luôn, nơi duy nhất để thi hành án là trên giường, tay phải để phía trên đầu, chỉ đánh vào mông, hỏi lỗi khi bình tĩnh và phân tích khi biết lỗi. Nên mình chưa bao giờ thấy ấm ức hay không phục sau đó cả. Mình cực thích cách giáo dục này của ba mẹ mình"
2,1,"Riêng t hồi đó cũng bị đánh, nhưng từ khi lên 9 10t j đó k nhớ thì t đã biết dùng lý lẽ để thuyết phục r nên k bị đánh nữa. Có thể do t hên khi ở trong 1 gia đình biết lắng nghe. Do đó đối vs t nhà luôn là nơi trở về, nơi chia sẻ những câu chuyện và bài học cuộc sống. Có lẽ bạn cũng nên thử mở lời vs bố mẹ về cảm xúc xấu hổ của bạn khi bị đánh xem sao, đồng thời cũng nên tự nhận lỗi trc, hãy cho bố mẹ thấy sự trưởng thành của bạn, vì khi còn đánh là họ vẫn xem bạn là trẻ con đó😁",https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,"Riêng t hồi đó cũng bị đánh, nhưng từ khi lên 9 10t j đó k nhớ thì t đã biết dùng lý lẽ để thuyết phục r nên k bị đánh nữa. Có thể do t hên khi ở trong 1 gia đình biết lắng nghe. Do đó đối vs t nhà luôn là nơi trở về, nơi chia sẻ những câu chuyện và bài học cuộc sống. Có lẽ bạn cũng nên thử mở lời vs bố mẹ về cảm xúc xấu hổ của bạn khi bị đánh xem sao, đồng thời cũng nên tự nhận lỗi trc, hãy cho bố mẹ thấy sự trưởng thành của bạn, vì khi còn đánh là họ vẫn xem bạn là trẻ con đó😁"
3,1,Muốn cmt lắm mà nó k có ẩn danh,https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,Muốn cmt lắm mà nó k có ẩn danh
4,1,Nguyễn Ngọc Trang Chị ơi chị check ib xíu vs ạ,https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,[NAME] ơi chị check ib xíu vs ạ
5,1,Đc học và giảng giải là 1 đặc ân. Người ko có ba như mình thì ước được như bạn và củng ngược lại...,https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,Đc học và giảng giải là 1 đặc ân. Người ko có ba như mình thì ước được như bạn và củng ngược lại...
6,1,là mình thì mình dỗi bỏ nhà vài hôm 🐧,https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,là mình thì mình dỗi bỏ nhà vài hôm 🐧
7,1,Đình Đức 🌊 đâu phải chỉ có em đâu mà mấy anh cũng dùng cách như vậy để giáo huấn các em mà,https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,[NAME] 🌊 đâu phải chỉ có em đâu mà mấy anh cũng dùng cách như vậy để giáo huấn các em mà
8,1,Luan Nguyen huấn bằng cây thịt của mấy anh hả kkk,https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,[NAME] huấn bằng cây thịt của mấy anh hả kkk
9,1,Đặng Phú cây của anh sao dám giáo huấn em nào,https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,[NAME] cây của anh sao dám giáo huấn em nào
10,1,Luan Nguyen khó nói luôn  kkk,https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,[NAME] khó nói luôn  kkk
11,1,"Đồng Phạm Xuân mình không bị đánh, mình bị chích điện",https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,"Đồng Phạm Xuân mình không bị đánh, mình bị chích điện"
13,2,"Mỗi người có sức học khác nhau không ai giống ai, em chọn ngành nào đó là quyết định của em trong sự tự do chọn lựa, cố gắng đi tới cuối cùng để tạo ra một bản thân có giá trị mà ai cũng phải chào đón và ngưỡng mộ nha ❤️ dáng vẻ đẹp nhất là dáng vẻ mà em đang nỗ lực từng ngày phát triển bản thân mình 🍀",https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,"Mỗi người có sức học khác nhau không ai giống ai, em chọn ngành nào đó là quyết định của em trong sự tự do chọn lựa, cố gắng đi tới cuối cùng để tạo ra một bản thân có giá trị mà ai cũng phải chào đón và ngưỡng mộ nha ❤️ dáng vẻ đẹp nhất là dáng vẻ mà em đang nỗ lực từng ngày phát triển bản thân mình 🍀"
14,2,"Trần Đình Kiến Dương t dạy m s, s nói bạn v",https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,"[NAME] t dạy m s, s nói bạn v"
15,2,Quân Hoàng t nói m với Tài NguyễnMinh Khang,https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,[NAME] t nói m với [NAME]
16,2,"=))))))) mới tốt nghiệp nna xong, đọc bài này tự ái ngang, chưa kể còn chính người trong trường mình chửi (như lời chủ tus nói)
ngắn gọn thì có người này người kia, nên các em hãy lắng nghe thật đúng người và đúng với lòng mình, tương lai sau này do mình quyết định.",https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,"=))))))) mới tốt nghiệp nna xong, đọc bài này tự ái ngang, chưa kể còn chính người trong trường mình chửi (như lời chủ tus nói)
ngắn gọn thì có người này người kia, nên các em hãy lắng nghe thật đúng người và đúng với lòng mình, tương lai sau này do mình quyết định."
17,2,Ra kiếm tiền hơn nhau rồi nói chuyện nhé em. Quan tâm chi :>,https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,Ra kiếm tiền hơn nhau rồi nói chuyện nhé em. Quan tâm chi :>
18,2,Nguyễn Toàn cậu toàn nói chí phải kk,https://www.facebook.com/DNTUConfession/,2026-06-28T18:32:07.539273,[NAME] cậu toàn nói chí phải kk
