id,content_anonymized,label,GPT5.5_Medium
5908,Phương Nam đúng nhận sai cãi :))),,1
5909,[NAME] Trinh cãi đúng sai nhận 🫠,,1
5911,😐😐😐 hồi xưa a cũng đi mẹc mà không có ai lên cả rõ buồn,,1
5912,[NAME] mẹc màu gì mới được ? 🤣,,1
5913,[NAME] mẹc màu trong suốt 😂😂😂,,1
5914,[NAME] thế ngta k lên là đúng rồi 🤣,,1
5915,Đr xe hơi :))) chứ xe cup bỏ bú ròi🤣,,2
5916,[NAME] wave nè em,,1
5917,[NAME] t với m sắp cút ra trg rồi vẫn chưa thấy chàng quàng tử nào như này =)),,1
5918,Duyên Phạm chờ em nào năm nhất cũng được nữa 😞 mà sao chờ hoài hỏng thấy,,0
5919,Em lỡ để mẹc ở nhà gòi😥,,0
5920,[NAME] thì kinh gòi 😂,,1
5922,Tantai Nguyen Gái rụng tứng rụng tứng 😂,,1
5923,[NAME] anh vũ bình định đem audi ra giúp đi,,1
5924,[NAME] sv nghèo làm j có Audi e 🥲🥲,,0
5925,Nhấn mạnh [NAME] @@,,1
5926,[NAME] trường mình có cho tiền để quảng cáo ngành quản trị ko pro,,1
5929,đỉnh quá ạ mặc dù hơi dài mình k đọc,,2
5930,Bảo sao hồi trc đi wave nên k hay gặp đc truyện zầy 🙄🤔,,1
5931,Quan trọng là hậu tạ bằng j đây nà 😂,,1
5932,[NAME] quan trọng là có mec,,1
5933,[NAME] hiểu vấn đề liền kk,,1
5934,Hậu tạ cho bát cháo lòng,,1
5936,Cuộc sống thật kì diệu!,,1
5937,câu chuyện chiếc mercedes đầy cảm lạnh 🤣,,1
5938,Minh Phú sinh viên đi mẹc la gke oi,,1
5939,THÚY PHƯƠNG em đi học có thấy con mẹc nào ko kaka,,1
5940,Minh Phú em phèn lắm nên không biết mẹc là xe gì 🌝,,0
5943,Minh Hiển em đúng ko🤣,,1
5944,[NAME]  con xe ai cx mơ🥺,,1
5945,Năm 2 ngta đi mẹc òi kìa =))),,1
5946,[NAME]  bạn có muốn đi mer ko,,1
5947,Uyên sao hồi mình học con KIA còn chả có giờ toàn mẹc ko m,,1
5948,Nó đi xe dream thì e có hậu tạ và viết dài như này k ? 🙄,,1
5949,[NAME] tại sao ko anh,,1
5950,[NAME] chắc chỉ có trong chịn cổ tích =))),,1
5952,[NAME] nào m thử làm ng tốt đi e 🤣🤣,,1
5953,a cho e mượn con chiến mã i,,1
5954,[NAME] a bảo xe máy cơ mà :)),,1
5955,[NAME] khó cho thg e rồi,,1
5956,[NAME] cóa rồi giúp lấy đồ mà :))),,1
5957,quan trọng là cái khúc mercedes á :)),,1
5958,"Năm 2 lại còn đi merc, bảo sao ko rụng trứng =))))",,1
5959,[NAME] rụng chiên ko kịp,,1
5960,[NAME] Thank [NAME]  giả bộ làm rớt túi đi,,0
5961,[NAME] [NAME]  kiếm em năm 2 đi Mercedes giùm kìa 🤣🤣🤣,,1
5962,[NAME] đc vậy cũng mừng,,1
5963,[NAME] ê ko lẽ t mê a này mài vừa đz vừa cuti 😌,,1
5964,[NAME] kkk coi bộ được nha. Đúng nà trai tốt vẫn còn,,1
5965,[NAME] n mà vẫn keo li mãi mận a Trogj nha 🫶 tội cái thíu mẹc,,1
5966,[NAME] kkk đr anh này có mẹc ngon hơn kao nghĩ là nên chuyển hướng,,2
5967,[NAME] í là m đk 🤡,,1
5968,[NAME] ý m thoi chứ t vẫn chung thủy với bồ t nha kk,,1
5969,[NAME] th nhường t a Trọng đii,,1
5971,[NAME] có mercedes lại là câu chuyện khác rồi:)) tội cho chiếc cup,,1
5972,Trọng Cường nhà em có hẳn 1 vỉ xe lun á,,1
5974,Tuy ko bt bạn nam đó nhưng chắc chắn là bạn ý rất đẹp troai 😂,,1
5975,[NAME] mới mua mec à,,1
5976,Bảo Phạm cx giống đó mà khác là mẹc :))),,1
5977,Văn Hải  nay đi mercedes luôn ngầu vậy bạn,,1
5979,"[NAME] chắc là"" e tình nguyện làm ny a để hậu tạ""😂😂",,1
5980,Hồng Ngọc sao mình biếc dc 😂😂,,1
5981,[NAME] thì nghĩ thế ó,,1
5982,Nào sao lại là 4 bánh 2 bánh k nổi r :v,,1
5983,[NAME] mer đen xì mà còn năm 2 ms chịu,,1
5984,[NAME] sếp đúng ko,,1
5985,[NAME]  chứ gì nửa đi mer ms có cửa đi 67 kh có cửa đâu,,1
5986,:)))))))) oke em anh đây nà 2 đứa mình iu nhao hong,,2
5987,[NAME] kiếm e năm 2 nào giúp kìa chị,,1
5988,[NAME] chờ Phước lên năm 2 rồi nhờ cũng được mà :v kkk,,1
5989,Xuân Hằng em kh có mẹc em chỉ có xe 50cc vá 2 lần thôi,,1
5990,[NAME] [NAME] toàn sv giàu thôiiii,,1
5991,ôi đặc điểm thơm ngon,,2
5992,Kim Anh [NAME] cũng ước gì kkk,,1
5993,[NAME] ngta năm 2 đi mẹc,,1
5994,[NAME] t cũng đi mẹc mà. Mẹc lol á,,1
5995,[NAME] ủa tao cũng đi mẹc zị -.-,,1
5996,[NAME] đổi qua đi taxi khum 😢,,1
5997,Cẩm Mỹ Trần bạn muốn quên gì trên xe,,1
5998,[NAME] chắc quên đôi hài :v,,1
5999,[NAME] mẹt xi đéc đúng không kk,,1
6000,[NAME]  anh đây chứ ai kiếm đâu cho mệt,,1
6001,Trọng Nghĩa bức luôn ấ,,1
6002,Clm trường mình có ai đi mer hả,,1
6003,Từ Hợp moto mẹc đáy 😂,,1
6004,[NAME]  toàn đại gia đi học không,,1
6005,Hậu tạ đổ đầy bình xăng là được,,1
6006,Ngân Lê năm 2 mà mẹc r kìa bà. Ngành bà kìa bà,,1
6007,[NAME] đọc xog thấy đỉnh thiệt lun á 🥲,,1
6009,Chà SV năm 2 đi mẹt xi đét là khét gòi,,1
6012,Thấy mec xi đì là biết đẹp chai ùi đó😊,,1
6013,[NAME] gớt nước mắt 🥲,,0
6014,[NAME] cảm động quá,,1
6015,[NAME] m lm nhận đi kìa,,1
6016,[NAME] mới Tết vào đòi lấy chồng sớm rồi,,1
6017,[NAME] quay lại để pé hậu tạ kìa,,1
6018,"[NAME] ủa kì z, sao năm mình học k có anh nào đi Mer v chèn ơi 🙃🙃🙃",,1
6019,Thiên Mai mec thì ghê r,,1
6020,[NAME] cao thủ ko bằng tranh thủ,,1
6021,Thiên Mai bạn giờ mấy cái này thường thoi 🤣,,1
6022,[NAME] thì đợi thì nào bạn có đi đã r tính,,1
6023,Thiên Mai mấu chốt thì cũng chỉ là mec thì ai cũng đẹp,,1
6024,[NAME] m có quên gì k Giang,,1
6025,Trân [NAME] m giả bộ quên r đứng trc trg đi,,1
6026,Chị năm cuối kiếm anh năm 2 hả :)),,1
6027,[NAME] mua mec r à :)))),,1
6028,[NAME] Yến t xí a này :)),,1
6029,"M[NAME] m phải nghĩ cho bọn choa nữa chứ
T cũng muốn",,1
6030,MT Thông tao cg muốn. Nhưng nhìn lại ko có vé mày ơi,,1
6031,[NAME] a hèm nhận đi chứ kaka,,1
6032,[NAME] tiền đâu mua mẹc :((,,0
6033,Hà Quế HoaMinh NguyệtMike NguyenMinh Hiếu thời tới,,0
6034,[NAME] thời của min híu vs gia quy chứ tụi mình làm gì có cửa,,1
6035,[NAME] anh ấy có thật ko z :v,,1
6036,Duy Tuấn nhớ tui ké tí=))),,1
6037,[NAME]  Tính ra tui thiếu có con mẹc đen xì luôn á bạn =))),,1
6038,Anh ngồi ở quầy lễ tân thư viện ngày 19/2 ơi anh cho em infor,,1
6039,[NAME] có gì đâu em =))) lần sau có gặp vđề gì cứ nhờ hội sinh viên đi merc tụi a nha nhìn v chứ dễ gần và hay giúp đỡ mng lắm :))),,1
6040,Đi mẹc auto đẹp zai nhé các bác. Còn nếu tài chính yếu hơn tí thì bên em có sẵn xe Camry chủ tịt ạ. Đầu năm chốt xe cuối năm cưới vợ. Liên hệ em [NAME] ngay để lấy giá tốt đầuu năm nhenn,,1
6041,[NAME] là bỏ vô túi rr :)),,1
6045,"Thiện Ps info là bạn a - fb là [NAME] e nhé, có vợ r nên e cũng ko cần hậu tạ đâu 🥳",,1
6049,"Một câu chuyện ấm lòng trong những ngày đầu năm, mong cô bé sớm tìm được anh để cảm ơn mới năm nhất thôi em không sao đâu còn mấy năm nữa lận.
#Pug",,1
6050,"Nghỉ Tết thế cũng đủ rồi, tôi muốn nghỉ hè :))",,1
6051,đi là đi sao đợi em gỡ xong đã,,1
6053,Lấy tiền vô nộp tiền th mấy đứa,,1
6056,Thôi lỡ rồi nghỉ bù tết mấy năm sau ã😅,,1
6057,[NAME] qui dị ktx lên đuọce chưa thế,,1
6058,[NAME] ktx lên đc rồi bro :V t đang ở trển đây,,1
6059,1 tuần nữa cơ mà??? để chặt heo cái,,1
6060,[NAME] sao mà ham quá:)),,1
6061,[NAME] tại thua nhìu bực quá🥹,,1
6062,[NAME] nhất sắp nhì chia tam quỳ tứ cống hả kkk,,1
6067,[NAME] khum muốn,,1
6068,"Tầm này không đi xem bắn pháo hoa, ở nhà lướt fb thì đúng là thiên thần luôn chứ không phải không có bồ đâu :))",,1
6069,"Môn nào qua môn đó thì ok , ra trường trước hạn thì k biết , hạnh phúc bên gia đình thì hạnh phúc , lộc lá cũng quanh năm , riêng kéo sì zách thì cứ 22đ nha . 😌😌 chưa đền bài là may lắm rồi",,2
6070,Cũng là qua đó mà là qa phòng đào tạo đóng tiền học lại á kkkk,,1
6071,"[NAME] ăn nói xà lơ , sao fen nói zị",,1
6072,[NAME] mày cũng bị cảm giác đó r mà kkk,,1
6073,Diệp Thanh [NAME]  thiên thần k cánh🤣🤣,,1
6074,đang cố sống tiết kiệm mà nghe kéo xì dách là ko kìm dc lòng :))))),,1
6075,"Chúc rất thiết thực, chứ mà chúc cái kiểu ""sớm có người yêu"" là bố chửi",,1
6076,Chúc này hình như k có hiệu nghiệm mấy bạn nhỉ [NAME],,1
6078,[NAME] chân đấy kéo ác luôn,,1
6079,[NAME] ngồi kéo tới sáng cũng được..nhưng mà k biết cờ rút bây giờ đang bắn ở đâu ròii,,1
6080,Nguyen [NAME] nói rồi để mai t chở lên muốn bắn gì bắn,,1
6082,Thu Thảo chúc em iu nhiều tiền 💵,,1
6083,"[NAME] chúc tú bạc tiền rủng rỉnh thoải mái tiêu, tìm được a sh ưg í😆😆",,1
6084,[NAME] dắt đi xem phim điii,,1
6086,[NAME] e cảm ơn😘,,1
6087,[NAME] zui zẻ zui zẻ hok rớt môn🥰,,0
6088,[NAME] fren too 🥰,,1
6089,Có :))) ai đón giao thừa ở ktx hong điểm danh coi,,1
6091,cái xì dzách vs ngũ linh ad ơi,,1
6092,[NAME] kết câu cuối fen,,1
6093,Luong Quốc Hùng  🥲 ú òa,,0
6095,"[NAME] 🥲 đâu có biết gì đâu, chỉ ngồi coi",,0
6097,[NAME] toàn ngồi  coi r xin kéo dùm 🥲,,0
6098,Ngọc Linh 16 ko có dằng nghe chưa,,1
6099,[NAME] hong thui lên 25 sao,,1
6100,[NAME] j trùm kéo bài nhỏ mà nói j z,,1
6102,[NAME] kéo xì dách ngũ linh,,1
6104,[NAME] chạy lên trường đôur kính kìa m,,1
6105,[NAME] lên đây là uống trà sữa lúa mạch chớ trà sữa gì nữa🤣,,1
6106,[NAME] thôi m ơi của đâu mà cho ko,,1
6107,Hông lẽ bay dô cắt kính r về 🥲,,0
6108,Chị [NAME] k như cưng nghĩ đâu 🥴,,1
6111,[NAME] k biết gì hết trơn á,,1
6114,[NAME] h lên tốn tiền xăng thấy mẹ,,1
