id,content_anonymized,label,GPT5.5_Medium
1186,[NAME] nhỏ nào bodysamsung các b nữ,,1
1187,"Hãy làm sao để trở thành phiên bản tốt nhất của mình.
Tìm xem điểm xấu ở nơi mình là gì và tìm cách cải thiện
TỰ HỎI BẢN THÂN SẼ ĐEM GIÁ TRỊ GÌ CHO NGƯỜI KHÁC ĐỂ NG TA PHẢI NÂNG NIU VÀ ĐỀ CAO MÌNH???
Tự khắc sẽ thấy tương quan thay đổi!!
Chúc bạn thành công!",,2
1188,"Sự tự tin, cá tính là điều thu hút nhất :3.",,1
1189,"Đó do bạn tự ti thôi .vô môi trường cứ tập trung chuyên môn ,khi chuyên môn b có phù hợp với môi trường đó ngkhac se cần b .những ng muốn b vô nhóm vì nhan sắc thì những ng đấy có khi  trình độ còn thấp hơn hoặc cũng như b thôi",,2
1190,"mình nghĩ bạn chỉ cần bề ngoài gọn gàng + sạch sẽ và 1 chút tự tin đó đã là 1 nét đẹp của bạn rùi.. đâu có ai quy định tiêu chuẩn cho cái đẹp đâu nè.. hãy tự tin là chính mình và cố gắng học tập theo đuổi ước mơ, tương lai của mình bạn nhoéeee🥰🥰🥰",,2
1191,"[NAME] ngta hay bảo tớ cũng ưa nhìn mà sao tớ vẫn thấy tớ khổ như choá cũng coá ai đâu ta, mà tớ vẫn vui vãi cức. Sao ngta tiêu cực v cậu nhờ",,0
1192,[NAME] hãy tiếp thêm động lực tự tin cho bạn đi nàooo,,2
1193,Tự tin là một kiểu đẹp rồi đó bà,,2
1194,[NAME] may quá trc t men lì nên mới đi đánh bóng như con trai 🤣 chứ ngày xưa ất ơ thật,,2
1195,[NAME] Giao m tỉnh bơ kkk,,1
1196,[NAME] tự tin lên mình không làm con gái thì mình làm bro 😎 sợ gì,,0
1197,Quỳnh Giao tân đã xem và đã đánh giá,,1
1198,[NAME] Khoa  Tân nào m 🙄,,1
1199,"Vẻ đẹp đến từ tâm hồn, bề ngoài có thể thay đổi được nhưng tâm hồn thì k, theo mình thấy thì khuôn mặt đẹp xấu hay không đeo khẩu trang vào cx giống nhau cả 😄",,2
1200,Trong phần bình luận này thì có thừa các quyển self-help biết đi nên bạn yên tâm được rồi.,,1
1201,theo anh thì cứ ngoan là được 🫶🏻,,1
1202,[NAME] ngoan hay là ngon,,1
1203,Thái Tuấn [NAME] a7 hỉu saooo,,1
1204,[NAME] theo anh bảy có lẻ là ngona,,1
1205,Thái Tuấn Kiệt sai gòiiii,,1
1206,[NAME] sạo sạo nữa,,1
1207,[NAME] thật mà,,1
1208,Đúng r như lớp tôi nè k có gái để bắt nạt 😥,,1
1209,[NAME] e đừng có nói xạoooo,,1
1210,NT Hoa em k hề nói điu luôn á chị 🥲,,1
