id,content_anonymized,GPT5.5_Medium,label
10512,Cỡ này chia tay quen [NAME] ne sướng hơn Thuận nấu ăn bao ngon ổn chưa?,2,
10513,[NAME] ổn áp nha đặc biệt nấu món mì xào cay ăn thì bao ngon thích thì thứ 7 chổ tài,2,
10514,Không thích uống tại bất tử uống nhiều tốn lúa gạo của nhà nước được chưa [NAME],0,
10515,[NAME]  thôi đồ ăn Thuận tuồng ghê lắm? Chả cá thì không đem làm mất luôn buổi học. [NAME],1,
10516,[NAME] ta mượn bếp nấu cho rồi ta và ngươi nhậu đến sáng ổn chưa nói vậy cho chòn,2,
10517,[NAME]  Thuận chơi game ghe nữa,1,
10518,Long Hoàng đm mày cứ liên hệ trong trường thu xếp đi,1,
10519,Cho nó theo con bạn nó luôn đi chị đẹp êi,1,
10520,Bạn cần 1 cái thùng xốp 😂,1,
10521,[NAME] cho nó yêu luôn con bạn hoàn hảo của nó đi :)) làm ny mà tưởng như làm người hầu z,1,
10522,Sao k yêu luôn cô bạn thân đi :)),0,
10523,Hay là mình bất chấp iu nhao đi e 😂😂,1,
10524,Ok anh tới luôn đi nào :v,1,
10525,Theo nguyên cứu của nhật kết hôn với  bạn thân giảm 70% nghi cơ li hôn  sau này,1,
10526,thiết nghĩ phương án là cho họa mi ngừng hot từ đây :v,1,
10527,Cắt hoạ mi nó đi bạn ơi,1,
10528,So sánh qq gì v trời ụ mia hạn hán lời,1,
10529,vẫn có đứa con gái ngu như này tồn tại sao =]] Neji Trần,1,
10530,"[NAME] đồng ý kiến, gặp tao thì thằng kia bị tán sml lâu rồi.",0,
10531,[NAME] tao nghĩ là vì thằng này điều kiện nên con này k giám bỏ thôi =]],1,
10532,[NAME] tao nghĩ là thằng kia ăn được ốc rồi nên tính bỏ đi vỏ đó mà để đi ăn con khác,1,
10533,[NAME] thôi chuyện người ta [NAME] lo thân mình đi bàn cl gì kkk,1,
10534,[NAME] vl cái này là đang bình luận .,1,
10535,Đường ai nấy đi :)) Cho cái a đấy đi theo cái chị bạn của a đấy :)),1,
10536,[NAME] mịa cho cho khoẻ. Yêu qq gì vậy,1,
10537,có người yêu sướng thế còn gì.. .. ^^,1,
10539,Chia tay đi bạn ơi. Con bạn nó ngon hơn r,1,
10543,Hằng Đặng kiểu người nady cho nó ra đrao sống haha,1,
10544,Về đội mình bạn eii :)),1,
10545,[NAME] dm để ae cho bạn cho vui,1,
10546,Bảo Tao người yêu m hay nó là người yêu :)),2,
10548,Út Duy  ừa đúng r cho nó ẽn đi r hốt thằng bạn mình nè :)),1,
10552,[NAME] tự gửi confession tự cmt hả ? Sang ảo vừa thôi :)),1,
10554,[NAME] cai nay yeu duong lam gi :V,1,
10557,Về với đội a a làm hết cho :)),1,
10559,E ra chổ khác chơi đi,1,
10560,Em ế quá em vả quá anh hốt em đi,1,
10561,[NAME] có chym a k hốt đc 😂🤔,1,
10563,Trang [NAME] có con bạn thật là giỏi,1,
10565,Bao Nguyen Gia  vì đã lỡ yêu e nhiều,1,
10566,Tứ Thế  🙂 sao tứ ko im đi đi,1,
10569,Nam Hoàng loại này chắc bắn bỏ e nhỉ :)),1,
10570,[NAME] còn hơn vứt khác a nhỉ :)),1,
10571,Nam Hoàng :)) hack não tiếng việt à e,1,
10573,[NAME] vãi chú. :)) Thôi coi đá banh,1,
10574,coi ảnh em mới đăng ổn không,1,
10575,[NAME] ok để vào coi,1,
10577,Ngọc Thư Thu Hiền Tiểu Băng Chinh Chinh Kim Khánh cho bạn í phương án nào :)),1,
10578,Thôi gặp ngay bạn đồng giới rồi nghỉ thôi kkkk,1,
10579,[NAME]  gặp thằng nào nv nhớ block lun nha Khánh :)),1,
10580,[NAME]  t nghĩ mắt t ko đến nỗi để gặp loại đó đâu 😂,1,
10581,[NAME] ct ngay khỏi phải sn 😂,1,
10582,[NAME] ct đíu nói nhiều.,1,
10583,Tội nghịp quen ngay đứa mặc váy huhu,1,
10584,[NAME] t đọc thấy cái này ảo ảo làm lol gì có thằng nào nói hoài kiểu v kkk,1,
10585,Ngọc Thư  ngày xưa thì t k tin :)) nhưng h hay có mấy thằng ngáo chó lắm,1,
10586,[NAME]  đúng òi đó,1,
10587,[NAME] c chị chỉ cách xử lý cho 😂😂😂,1,
10588,Gặp loại này đạp số de qay đầuu ⚔️,1,
10589,[NAME] biết nên kêu bằng anh hay chị😌,1,
10590,Cạn lời thanh niên rồi!,1,
10591,Bạn này là bn bốc lửa cửa sau 😏😏,1,
10593,Bảo nó quen con bạn nó đi.,1,
10595,Chung Trần  đúng đẹp trai nói quá hay,1,
10596,Chung Trần ctay đi qua a chung sẽ là bến đỗ hợp lí cho em nó 👍😂,1,
10597,[NAME] t cũng mong chủ tus sẽ cmt vô đây🙂🙂,1,
10599,[NAME] kkk..có không,1,
10600,Chung Trần  có chứ mạy 😂,1,
10602,Phương Nguyễn đọc này thấy hay hay nè m 😂,1,
10603,Hồng Ngọc  thà ế còn hơn quen người như v 😂 có con bạn thân để dự phòng,1,
10604,[NAME] chứ ko phải đang ế sml à 😂,0,
10605,Hồng Ngọc  m nói ai dợ,1,
10606,[NAME] m chứ ai,1,
10608,P đâu có ế chỉ là đang đợi người tử tế thôi,1,
10609,[NAME]  kkk 😂 😂,1,
10610,Nhung [NAME] thằng ny hamlol 😏😏😏,1,
10611,Chia tay đi...chia tay mau 🙂,0,
10612,Thằng này vứt được rồi chị ơi =))),1,
10614,Thúy Thanh Đỗ Nguyễn Thị Thanh Phương Đặng Trang Thảo Hiền Thiên Vy Long Nguyễn con nhà ngta đã hết thời rồi nha mấy đứa😂 giờ là thời của con bạn a,1,
10617,S k quen con bn a luôn đee,1,
10618,"Dù ai nói ngã nói nghiêng, thì lòng ta vẫn cứ đúng ko cả nhà",1,
10621,[NAME]  chia tay cho r cảm thấy hài 😏😏,0,
10622,[NAME] cảm thấy hãm chứ,1,
10623,thôi dcm chia tay đi hãm lồn quá,0,
10624,[NAME] vô kiếm mía ông,1,
10625,hẹn nó ở ngã tư sở thú liền jun,1,
10626,[NAME] có duck khang chống lưng mà,1,
10627,như mình là táng cm :))) ở đấy mà con bạn a vs chả con bạn e :))) người yêu gì kém sang :))),1,
10628,[NAME] giống gì á ta 😂,1,
10629,[NAME] bị chưa:))),1,
10630,[NAME] m nghĩ t có bị nv k?,1,
10631,[NAME] chắc rồi =)),1,
10632,[NAME] hahaa chắc t cho đi xa r,1,
10633,[NAME] cười cái gì ...,1,
10635,[NAME]  súc sinh này... mai nhớ đi họp,1,
10636,[NAME] nghi di ae :)),1,
10637,[NAME] cô có thể dag xem.đó.cường,1,
10638,nho xoa commen dum tao nhe :)),1,
10640,Trang Ngố nãy t tính tag m á:))),1,
10641,Hà Nhi  hâhhahhhh :)))),1,
10642,"[NAME] bởi chứ chi mà nghe bạn thân rồi thì e gái nuôi bla bla là dẹp, dẹp sớm giùm :))))",1,
10644,Long Thái con trang nó nói j m kìa,1,
10646,"[NAME]. [NAME] buồn với pé quen chúng thằng mang Váy  nhé 🤣🤣🤣👏🏻👏🏻👏🏻👏🏻!!!
Thế mới nói con đàn bà hơn nhau cái ...... 😆😆😆😆",1,
10647,[NAME]  chi tội vậy!!!!,1,
10648,"Sao em ko nói "" anh đi mà yêu con bạn anh "" 😂😂😂. Mình cứ là mình, làm điều mình thích, ngu cũng được khôn cũng được, đảm đang thì tốt, ko cũng chả sao. Việc quái ji cứ lăn tăn theo mẫu hình con bạn anh chi cho mệt. Cứ nghĩ "" em thấy em vậy là tuyệt cú mèo rồi, ko được thì bấm "" 🤣",0,
10650,Anh [NAME]   hỏi a mặc váy sz gì e mua)))),1,
10652,[NAME] thua rồi,1,
10653,"Thế e nhắc nhẹ nó 1 câu "" anh cút cm nhà a đi "" 🤣🤣🤣",1,
10654,[NAME] đm. Bất công vl. Chờ 1 con ny để nâng niu thì đéo thấy đâu,1,
10655,[NAME],1,
10656,thứ như nó tao lấy gạch ống phang vào mỏ l*n 😡,1,
10657,V kêu a đu con bạn a luôn đi,1,
10659,Sang là a bắn pháo bông con bạn a đi hả,1,
10661,Tuấn k bao giờ so sánh nhé. Ngứa mắt là tuấn ct thôi 😎,1,
10662,[NAME] tất niên không cậu ?,1,
10663,[NAME] ok nè cậu. Cho mình cái hẹn,1,
10664,[NAME] có gì tớ báo cho cậu,1,
10665,[NAME] chưa nhé. Đợi ăn tất niên xong mới đẻ 🤣,1,
10666,"SAO [NAME] VÀ Ở ĐÂU MÀ LẠI ĐI VƠ ĐŨA CẢ NẮM VẬY... NẾU THẰNG [NAME] CŨNG VẬY THÌ ANH EM, BỐ, [NAME],ÔNG [NAME], CHÚ, BÁC...vân vân và vân vân NHÀ BẠN CŨNG VẬY AK... 😀😁😂",1,
10668,Sak [NAME] sao  á bạn kkk,1,
10675,"nếu bạn là nữ , có lẽ bạn có vấn đề rồi đấy , [NAME] đây sẽ giúp cậu
còn bạn là nam thì chuyện bình thường 😈",1,
10676,Tus này là của bạn [NAME] . Bạn ấy thích bạn [NAME] lâu rồi mà không dám nói. [NAME] 2 bạn đến với nhau thật hanhfuck❤,1,
10678,thường thì do bạn alone quá lâu nên bản thân của bạn cảm thấy mình cảm giác thích ai đó xung quanh mình..... chẳng hạn bạn cùng phòng...,1,
10679,"[NAME] ngĩ tụi mình lâu lâu ngủ chung 1 hôm là vui r nha, chứ k nên ở cùng nv, k đc tốt [NAME] 😂",0,
10680,Andy Lê m sợ bị bẻ cong rồi hả kkk,1,
10681,"K gì có thể bẻ tao đc nha, tương lai tươi sáng củatao còn chờ, chỉ sợ tao dể thương qá, k tốt cho mày 😊",0,
10682,Lấy giấy khai sinh ra xem lại họ và tên rồi nói chuyện tiếp nha :))),1,
10683,Dcm bố nói rồi gần rơm thể đéo nào chả cháy [NAME],1,
10684,Dcm thảo nào a hà đéo ra ktx a mạnh ơi😂😂,1,
10685,Chung Nguyen chứ sao nữa. H ở trong đó cứ tối tối leo lên mà quất thôi,1,
10686,Nhiều khi ra ngoài còn tốn tiền,0,
10687,Con chó [NAME] viết stt này à :))))),1,
10688,[NAME] thật đấy a hùng ơi. Má nó cứ im im đm ko khéo đít nở hoa mẹ rồi [NAME],1,
10689,"[NAME] tao cút sớm, k thì ăn lol rồi :))))))",1,
10690,[NAME] a hùng nhanh trí đấy. Chứ ko đang ngủ thấy nhoi nhoi thì ăn bờ kkakakakakka,1,
10691,[NAME] vãi các a đít a hà nở hoa còn mọc thêm cái mụn nhọt dưới đít rùi chưa chả chơi đâu haha,1,
