id,content_anonymized,label
13101,"""Cảm giác của mình thì hắn cũng thích mình ý"" - [NAME]!!! Thích thì nhích. Đừng tin cái cảm giác đấy, sml à.
À mà, nếu tỏ tình được thì sau này bớt chủ động lại :v Không bạn nam lại làm giá đấy :v",
13102,Con gái chủ động cũng bình thường thôi. Và con gái chủ động sẽ dễ bị ctrai dụ hơn thôi 🙂,
13103,"[NAME] là sv năm nhất, mới vô trường thôi à, nhưng mà nói thật là thích thì nói bà đi, chờ đợi gì nữa?? 1 là thành ny 2 là k nhìn nhau luôn, chứ thấy để v mệt mỏi tốn thời gian ghê :))))) hiiii",
13104,[NAME]  kkk vậy ngân quá men rồi 😂😂,
13106,Tự nhận đàn ông lun 😂😂,
13107,tự nhận gì? rõ ràng v mà,
13108,Vậy lúc nào gặp ngân kêu ngân đàn ông nha 😂😂,
13112,Hum trước thấy ngân đàn ông đi nhầm giờ học ak😂😂,
13113,k có nhầm giờ mà nhầm chỗ :)),
13114,"Sợ em biết lại sợ em không biết
Muốn em biết lại muốn em không biết
Điều buồn nhất là
Là em biết làm như em không biết ;)))",
13115,tùy hứng nhé! bạn nữ ngồi ở trên thì luôn đem lại cảm giác thành công cho bạn nam nhé! 😂😂😂😂😂,
13116,nên tỏ tình đi gái..còn nhiều thằng nhát chết lắm..có cạy miệng nó cũng k nói đâu nhé..,
13117,"Cứ nc va bn nam ấy đi, ctr h hiền khô à 😁và ctr cũng thích cgái chủ động nè 😄",
13118,[NAME] m lang thang đâu đây đm 😑,
13119,[NAME] v thì nên lịch sự lại 😑,
13120,"Nam nữ bình đẳng, ai nói trước chả được",
13123,nay bạn ghê lắm rồi đó =)),
13124,"Câm ngay cho bố, nó mà me bố bố chỉ m",
13125,[NAME] thích gái chủ động 👍,
13126,Nhìn lại mình chẳng có gì sao mà dám nói,
13127,"[NAME]. Bọn t đến với nhau chẳng nói 1 câu....😂😂😂
.
.
.
Lúc đi cũng v 🙂",
13128,Biết không có kết quả thì không thổ lộ làm gì,
13129,[NAME] hương hương,
13130,Ngọc Lương hương cái nồi,
13131,[NAME] tuổi lol hay s m,
13132,Em trai muôi Ngọc lương,
13133,Quất luôn bạn ơi. [NAME] thì dắt về. [NAME] đc đậo sml nó 😂😂😂,
13134,Nhật Quân dã man con ngan v ông kia 😂😂,
13135,con trai nhát lắm bạn ơi,
13138,cua nó trước khi nó yêu thằng khác 👍,
13139,Con gái chủ động  auto dễ thương :))),
13141,hết tháng cô hồn rồi m chưa đi à [NAME],
13142,[NAME] cc nha.. thích auto dễ thương k,
13143,Liệu em có làm gì khiến cho họ ko dám mở lời!?,
13144,[NAME] cứ phải hơm 1-2 tuổi mới đc vinh nhỉ :))),
13145,Du Đại  đy học lại k m ơi =)))),
13148,Má e dạy thích là phải nói cũng như [NAME] là phải ăn :)),
13149,Thế thì nó từ chối thì sao,
13150,Tưởng tượng cảnh mai nó chich con khác .... :)))),
13151,Chủ động trước đi em :))) chứ a cô đơn quá -.-,
13152,Mình cũng đang hoang mang lắm. Đáng tính ngõ lời với bạn nam kia.,
13153,Truyền thuyết là có thật,
13154,tùy bạn thôi . nói cũng đk mà làm giá cho ế luôn cũng đk,
13155,[NAME] ghi nguồn nha đồng chí kkk,
13156,Bố ông thế cũng bắt bẻ :)),
13157,"bạn để càng lâu thì ng ấy càng y bạn đậm sâu
HOẶC
bạn đang bị ảo giác",
13158,#hắn ở đâu huế quảng trị á chúc may mắn,
13159,[NAME] vô phân tích cho em nó kìa =)),
13161,Tuấn Kiệt chuyên gia tư vấn tâm sinh lý gì kì v =)),
13162,[NAME] lol tâm sinh lí nhứt nách thật 😂,
13165,"Cứ làm bạn vs hắn trước đi rồi nc thân thiết cafe trà sữa đôi ba lần xem tính tình hắn có hợp vs bạn ko đã nhé rồi lâu lâu giả vờ đang buồn chuyện tc tâm sự với hắn nè . Nói chung là cứ âm thầm tìm hiểu nó trc xem nó có ý j với bạn ko rồi hẵng ns , chứ mà ns ra rôi nó ko có thich j minh thì nv bạn gái thiệt thòi lắm . Lý trí một chút nhé bạn ☺️",
13166,Bạn c nói có lý quá ng có kinh nghiệm có khác haha,
13167,Bạn [NAME] coi học hỏi ít kinh nghiệm nha 😂😂,
13168,Tan [NAME] móa ơi kinh nghiệm tình trường của con bạn tui giờ tui ms biết luôn 😂😂,
13169,Bởi dấu diếm k k chia sẻ cho bạn bè tí nào haha,
13170,Chém gió chút ấy mà 2 bạn,
13171,[NAME]  hú hồn chim én,
13172,Nhờ vậy mà có ng bị dụ đó 🤣,
13173,[NAME] dúp bạn kkk,
13174,Yêu mà ko nói là hại lắm cậu ơi☺️☺️,
13175,[NAME]  m đăng gì vậy Hải,
13176,[NAME] giúp em nó chị ơi :v,
13177,[NAME] cứ nói ra. Nếu bị từ chối thì ít ra cũng biết là ng ta k thíc mình. Còn cả 2 đều thíc thì nhích🤣,
13178,[NAME] lẹ lẹ đi,
13179,Theo cảm giác cơ đây.kkkk,
13180,"yêu thì phải nói cũng như đói thì phải ăn nha em 😁
""ba mẹ thì ở nhà còng lưng ra nuôi cho ăn học yêu với đương cái dzề yêu với đương cái dzề.... ""😂😂",
13181,Quốc Dũng  cô đơn quá nói v cho đỡ tủi hả cưng?  😂😂,
