id,content_anonymized,label
3553,Nhật Tân :)) chứ s ở chui 4 năm phải có chứ,
3554,[NAME] đã chụp màn hình,
3556,[NAME] cho review đi anh :)))),
3558,[NAME] dui lém lúc nào sợ Bị thông :)))),
3559,[NAME] cho e ý xin ít review kìa a,
3560,[NAME] sang sịn mịn :)) quá khứ tốt đẹp mỗi tội bị đuổi sớm quá kkk,
3561,[NAME] bù lại là đứng lầu trên có view ngắm mấy bạn nữ lầu dưới khá là ok 😂😂,
3562,[NAME] wifi 1 tháng 70k nhưng lướt facebook còn lag nha. Đêm thì mạng khá ok. Ban ngày thì thôi :)),
3564,[NAME] :)),
3566,Huy Quoc tối anh đăng khoa hay làm ma đầu đen ở tầng 4 lắm,
3567,[NAME] [NAME] tg matuda chứ,
3568,[NAME] hời ơi bình thường là 1:1 còn riêng [NAME] là 1:5,
3569,[NAME] nó dag kiếm ven để chích đó có gì để ý báo công an,
3570,"[NAME] cl mía thiệt chứ, biết hơi nhìu 😂",
3573,[NAME]  như nào ấy nhờ 🤣🤣🤣,
3574,[NAME] thôi bớt báo lại,
3577,[NAME] Với mình thì 9/10 🥲 nếu mà ở free thì 10/10 r,
3578,[NAME] tham lam quá i,
3579,[NAME] rì viu nhỏ đuy 😢,
3580,Chuẩn resot 5* nha bạn.,
3581,Đào Ngọc Tâm điều hoà 24/7,
3582,Đào Ngọc Tâm bạn cũng rảnh lắm,
3584,Bảo Hân tuyệt vời nếu ở cùng paparazzi💕,
3585,[NAME] [NAME] nhiếp ảnh gia mà bà :)) chụp màn hình với chụp bắt trọn khoảnh khắc đời thường đồ đó :v bị cái người xem ảnh k phải mình thoaiii 🥹,
3586,Bảo Hân lói chum là trải nghịm tuyệt cả là vờiiii,
3587,[NAME] [NAME] chụp cho xem cái mép coi,
3588,[NAME] hời ơi đâu phải rễ ràng,
3590,"Cứ trải nghiệm cho biết đi bạn, trăm lời nói không bằng 1 lần thấy đâu.",
3591,[NAME] Võ Nguyễn Minh Luận Bien Do Nguyễn Hữu Thiện mấy đứa cho cái review 🤣,
3592,Thái Tâm Mã câu chuyện về việc mình đang tắm say sưa thì chợt phát hiện '' ôi đệt! Bị cúp cmn nước rồi '' :)))),
3593,[NAME] kkk phòng mình sao,
3594,[NAME] toẹt zời :)))) mỗi tội hay uống sinh tố lúa mạch thường xuyên,
3595,"Mẫn Võ đuổi khứa lớn tuổi nhất phòng đi là đc, khứa đó hay rủ đó :))))",
3596,Kkkkkk nó lại quá hợp lí,
3597,[NAME] chắc chưa,
3600,[NAME] cứ doạ mấy ẻm.,
3601,[NAME] ko hề có ma nha!🤪,
3602,"[NAME] , zô đi khỏi review!",
3603,"nóng, không có wifi ,giường thì chật phòng mấy đứa con trai cửa có cái ô để người ngoài nhìn vào hơi bất tiện được cái gần trường căn tin bán đồ rẻ",
3604,[NAME] rv cho bạn,
3605,"[NAME] drama nhìu lắm, kể cả năm kh hết 🤣🤣",
3608,[NAME] sao kì zãy,
3609,[NAME] ngắn gọn xúc tích,
3610,"Nói chung thì ktx oke, oke và rất oke Phạm Lễ Thái Trình Suy",
3611,Trình Suy đừng buồn em,
3612,[NAME]  rv cho mấy e kìa,
3613,[NAME] vui lắm á:))),
3614,Tantai [NAME] nghe ở đó có đc tắm dầu ăn 😂.,
3615,[NAME] ở đc lần đầu là k có lần sau luôn,
3616,Thiên ÂnTrần T.Truc Phương rw đi,
3617,[NAME] quá là toẹt vờii nếu như chúng ta ở cùng những con người cùng tầng số.,
3618,[NAME]  ns chung là vui vui nhất là những ngày ktx cúp điện hoặc cúp nc mà đến tối vẫn k có thì chỉ có đi dạo vài vòng quanh trường cho mát :)),
3619,[NAME] 2 chị cho xin rv i kìa,
3620,[NAME] ở mình sợ ma 🥲,
3621,[NAME] thi thôi học làm gì 😌😌,
3622,Nhật Trang kinh nghiệm m,
3623,[NAME] Không Rơi hồi đó t thi chứ có học hành gì đâu :))),
3624,[NAME] kkk t cũng zị🤣,
3625,[NAME] Không Rơi chia sẻ kn cho bạn còn ra trường chứ.,
3626,"Thằng bạn [NAME] của e nó cũng đang khóc tiếng choá vì môn ""thi"" tiếng anh chuẩn luôn rùi 🤣🤣 mong rằng nhà trường cíu bạn e để nó kịp về quê lấy vợ 😆😆",
3627,🙏🏻 chưa bị đá khỏi trường luôn hả huynh,
3629,[NAME] câu chuyện không của riêng ai :))))),
3630,[NAME] Thỉ một câu chuyện buồn 😫,
3631,[NAME] Thỉ vẫn chưa thi đc à m,
3632,Bạc [NAME] tha thiet chung cho dzui,
3633,[NAME] thiết tha 🥹,
3634,[NAME] chưa ra trường à,
3635,[NAME] có cần rõ từng chữ v ko thang l,
3636,Bạc Xỉu sao chửi iemmm,
3637,[NAME] t tuc m qua mak 😀 do khon,
3638,:))) à thì là e cũng ch đki luôn nên anh chị đừng z e cũng ch hoảng hồn khúc lớp tin hc full,
3640,[NAME] tui tưởng còn mình tui 😂,
3643,[NAME] học dntu hồi nào dị 😳😳,
3645,"[NAME] bữa tưởng ra rồi, mà lòi ra thiếu 2 tín sót môn ch học =)))))))",
3646,[NAME] tin học chưa đk đc nữa 😂,
3647,"[NAME] tr ơi cố lên bà, hên đợt t thi xong các kiểu là n đổi lun. 🤡",
3649,[NAME] khóa dưới cũng không đăng kí được :)),
3650,"Sinh diên năm 5, năm 6 thẳng tiến :(((((.",
3651,"Bữa gio mở lớp thi cũng nhiều ma bạn ko đăng kí ha, canh biết đời nào, lên phòng 1 cửa , giờ mới thi chắc xét tốt nghiệp t10 ko kip rồi",
3652,[NAME] Phước Thành ổn chứ b 😆,
3653,Đức Huân chắc đời này biết biết cái bằng tốt nghiệp là gì nữa lun r bạn,
3654,La [NAME] coi trên đt dc rồi bạn 😂,
3655,[NAME] ra chưa b 😆😆,
3656,[NAME] giống như của thành :))) đời này k biết cái bằng nó như nào luôn,
3657,"Cố tỏ ra là mình ổn, nhưng sâu bên trong ko đăng kí đc tin học B.",
3659,[NAME] hên sao bạn đk đc,
3660,May quá khoá 12 đã ra trường Phương Minh [NAME],
3661,"Thanh Hằng May quá là đúng hẹn, ra trường mà trễ hẹn là bán nhà đóng tiền học￼",
3662,Vãi khóa 14. Ra trường năm 6 năm rồi,
3663,"[NAME] said: ""Trg mở 10 lớp rùi em ơi trường hỏng mở đc nữa đâu""",
3666,"14 giờ vẫn chưa chịu ra trường, rất có năng lực :)))",
3667,[NAME] không biết chú ra trường chưa nữa 😂.,
3668,[NAME] chú chắc đc trường giữ lại rồi mắm 🤣,
3669,Một sinh viên năm 6 cho hay. 😳,
3670,[NAME] - [NAME] kkk,
3671,[NAME] - [NAME] bằng a chứ mấy,
3672,[NAME] ôi nhồi ôi :)),
3673,[NAME] - [NAME] không trêu bạn,
3674,"mấy e nhỏ nhỏ nhường ac đi, mấy e đko môn trong khung trước đi",
3675,"Đừng sợ...mình năm 8 mới xong, yên tâm đi 😂",
3676,Lên phòng 1 cửa xin ngta add vô cho. Canh k lại đâu bạn,
3677,Tui khoá 14. Làm vk làm mẹ luôn rồi nè 😅😅,
3678,[NAME] bắt tay nào mẹ bỉm ơi =))))))))),
3679,[NAME] ủa Ph hả :))),
3680,[NAME] up bài để chế độ ẩn danh tính rồi mà còn biết nữa mà t khoá 13 nha cđ,
3681,[NAME] rồi tính sinh viên khoá 10 năm hả :))),
3684,[NAME] khổ cơ bản ms mở tiếp haha,
3685,[NAME] cười cái giề 🤧,
3686,[NAME] đồng cảnh ngộ đếiii ạ 🥹,
3687,ủa 14 là khoá sau mình phải k [NAME],
3688,Đăng hải sv năm 8 năm nay có mời ae lên dự ko ? 🤣,
3689,"Vo [NAME] chắc đc mời rồi, chúng ta nên chuẩn bị bông để mừng sv năm 8 năm nay thôi 🤣",
