id,content_anonymized,label
15799,Đá Cuội tui không có xe đi 3,
15800,Liên Ngọc híc. e dc lắm,
15801,[NAME] sv công giáo dntu kìa,
15802,[NAME]... cùng sở thích .. cùng quan điểm.. 😂😂,
15804,"[NAME] ,,,, nam  thì còn đk .. chứ nữ thì e xim rút ....😂😂",
15806,"ahahhah,,,,,,  k mấn đk ,,  🤣🤣",
15807,[NAME] tìm bạn đồng hành đi VT uống sữa đậu nành 1 tuần đi 7 lần thôi ạ = )))),
15808,"[NAME] Giáo sứ hải dương 19h t2 hàng tuần em nhé,  sinh hoạt zui chơi và công tác xã hội,",
15810,haiz có lẽ nào là thg ân nó viêt cáp này ko,
15811,[NAME] diều dắt e cái nào.,
15813,"[NAME] chấm cái đi, e tự đưa link t có biết đâu.haha",
15815,Chào bạn !! Trường mình có nhóm SVCG nha 😃 Sinh Hoạt vào t2 hàng tuần tại Giáo.Xứ Hải Dương,
15816,Ở kí túc ibox nhé 🤣🤣🤣,
15817,"Ta đi tu r ,,khỏi lo bác ơi",
15818,Thích đi phượt inb anh 😉,
15819,Tưởng m cmt thích đi ch*ch ib a chứ 😂😂,
15820,[NAME] rủ e 12/8 đi chung cho vui 😀,
15822,Đọc cmt của nhóm vui thôi ..... :)),
15823,Ơ m đâu chui vô đây v 😒😒😒😒,
15824,ahihi ... mình chỉ mùn giúp đỡ thôi,
15825,Việt Phạm xin link ko.  Cho nè,
15826,Xin hẳn face Zalo lun nhê,
15827,Thấy toàn là nhóm mình nhảy vào ấy hậy,
15828,Ở ktx thì ib nè =))))),
15829,Bạn hãy đến với nhóm Sinh viên công giáo công nghệ nhé . Sắp tới sẽ có lễ ra mắt tân sinh viên,
15830,😂😂 nghe sùng đạo phát khiếp,
15831,"Lại [NAME]
SV công giáo...",
15832,Cần info ngay và luôn nhể 😂😂😂,
15833,"Lại Hoàng Quân  nữ năm nhất
Xin nhắc lại nữ năm nhất
And... [NAME] quen ai ở đây....
Xin nhắc lại nhắc lại....",
15834,S a biết k quen ai ở đây ở trên méo thấy ghi 😂😂😂,
15835,"Lại [NAME] ""Từ quê xa lên trường và ko có bạn ở đây"" hehehe",
15836,Thì k có bạn thì có anh trai em gái or em trai chị gái v :v gia đình v.v rồi còn có nhóm SVCG nhể 😂😂😂,
15838,"có chị hả, dễ thương xinh trai ẹp gái k em, chị mới tuyển, hâhahah",
15839,kiếm trường nào trên sg học đi em ơi 🙏,
15840,"Em nghe ai nói mà chuyên về công nghệ á e. Quay xe và đi đki trường khác học liền, vào đây dc 1 cái là tốn tiền ko đc gì thui á",
15841,"Nghe oai thế thoii chứ ko đc gì đâu
Nếu thực sự muốn theo AI thì học CS bên HCMUS á",
15842,Thua nha b . mình cntt đây rất là nhiều cái ức chế . b đi trg khác đi nha,
15843,"[NAME]🦇 Oki a, e cũng lựa trường khác từ bữa giờ rùi, tại giờ bài viết của e mới lên á=))",
15846,Hùng Minh tuổi trẻ chưa trãi,
15847,[NAME]  m thích súi bậy k,
15848,"Chọn trg khác là lựa chọn hợp lý á bạn ơi, vào đây chỉ có tốn tiền thui chứ ko dc gì hết á",
15849,"Lên sg học mấy trường top đầu thì lên, ko thì ở đây học mỗi tháng tiết kiệm đc tiền ăn ở cũng cả chục triệu",
15850,ExcellentAlpaca8135 e ko có đi lên sg đc á,
15851,"Lên đc saigon học thì tốt nhất, ko học trường này cntt cũng ổn",
15852,riêng mấy ngành kĩ thuật mạnh nhất là sg nó là cái nôi của công việc cntt,
15855,"Khu F hay sao á , bạn đi lên lầu 2 hoặc lầu 3 ấy",
15856,"Làm giấy bảo lưu 1 năm đi biết đâu 1 thgian lại suy nghĩ khác nè. Ráng lên ông, giờ ra đời ko có cái bằng ĐH nó nhọc lắm.",
15857,[NAME] có người hỏi kìa,
15861,Nhập học là test để phân lớp học tiếng anh căn bản nè bạn. Test điểm cao thì học thẳng lớp cao luôn k cần học các lớp căn bản,
15863,Mình pass đồ bơi nữ giá hạt dẻ,
15864,Mình xin zl m chỉ cho nè,
15865,"b bấm windown + i rồi nhìn bên trái chọn app xong chọn installel app, b tìm phần mềm cần xoá r bấm dấu 3 chấm chọn uninstall là xong",
15869,"Bạn liên hệ Trung tâm tin hoặc bên khoa bạn để đc hỗ trợ nha
Zl trung tâm: 070 393 88 99",
15870,[NAME] nhiệm vụ hệ thống kè,
15871,"Công nợ ít ít hoặc còn trong thời gian đóng hp thì đc, chứ công nợ nhiều khả năng cao bị từ chối",
15872,"Mới 1 năm à em, nhưng hôm trc có đi ký gì với bên sân bay Long Thành á",
15873,"Rcm nghệ thuật số nha, chương trình giống 60% thiết kế nhm sẽ vẽ nhiều hơn nếu bạn thích vẽ, phòng học các thứ khá ổn (khá thôi). Mình học năm hai TKDH bạn có gì thắc mắc cứ ib mình nha.",
15874,"Ngành mới á nên chưa nổi trội cho lắm, cơ sở vật chất về bên công nghệ thì ok chứ còn lại bình thường à, không nổi trội lắm",
15875,"em nhớ mang giày bata nha, tham quan xong thì chạy một mạch ra khỏi trường, đừng trở lại",
15876,Em cứ vô trường tham quan thoải mái đi em,
15877,"Lên trang sv (web) phần trang chủ , ở mục cuối cùng có cgi quên tên rồi
[NAME] vào sẽ thấy các lựa chọn
Tìm giấy xnsv rồi quét mã đóng tiền là xong
Đợi 3 ngày rồi lên lấy",
15878,giờ mới xong năm nhất đăng kí học hè liệu có ra trg sớm hơn đc ko ạ ( nếu ko rớt môn nào ).,
15879,"BrilliantCrocodile9351 đc e , speed run hết năm 3 ra trường o",
15882,[NAME] group rồi em. Trường em cần hỏi là [NAME] còn đây là [NAME],
15883,Ghế sofa ở giữa các tầng trong nhà G đó bạn. Nằm đó ngủ cũng sướng,
15884,Duy Phạm oh dc nằm ở đó à,
15885,"Người tham gia ẩn danh ko biết nữa, nói chung là nằm đâu mình thấy sướng là đc :)))",
15886,Ra quán cu shin nè bạn ơi. [NAME],
15887,Chỗ trọ bạn còn phòng trống ko ạ?,
15888,Mùng 10 11 đi VŨNG TÀU mà đam mê chụp hình mà chưa có thợ take care thì inbox lịch nhé các tình yêu.,
15890,Hà Phúc Thịnh mày ngầu với ai v??,
15891,Kiến Quốc ngầu với ông trí,
15892,[NAME] dọn dẹp phòng hả,
15893,[NAME] nghỉ học ko có quyền lên tiếng,
15894,truyền thông đi b :)),
15896,B có pass áo tím khoa kt-qt hog b,
15897,tốt nhất nên nghỉ r đóng tiền hc lại đi b nhé 4 buổi còn lên làm j năn nỉ à.,
15899,"Các em khoa điện,cơ khí,[NAME] thì vào n.hóm học hỏi tài liệu cũng như những công việc thực tế mà các anh,chị đi làm chia sẻ nhé .các em sợt nhó.m trao đổi điện công nghiệp và tự động hóa là ra ak.",
15901,ko chịu tìm hiểu trc rồi cọc nè=))) rút kinh nghiệm di,
15903,[NAME] có thấy khum chị,
15904,[NAME] nay tuii oln bà ô,
15906,"[NAME] hết phần [NAME] thì nếu bạn nhập đúng đề trên giấy thì đc 0.5
- Word 4.5 và Excel 5.5",
15907,Để thi có 2 phần đấy thôi ak bạn,
15908,Người tham gia ẩn danh 948 đr bạn,
15909,Người tham gia ẩn danh 936 5 điểm mới đậu đúng không ạ em năm 3 thi 2 lần rồi vẫn ko bit làm,
15910,"[NAME] bit tiếng trung đr á, 5đ là đậu",
15911,Người tham gia ẩn danh 936 dạ em cảm ơn ạ,
15912,Cố gắng lên. Thi vài lần r cx sẽ đậu thoyyyyy kkk,
15913,cho tôi hỏi tí tin nâng cao ko có thi lý thuyết à tôi đợi hôm chủ nhật tới giờ mà ko thấy ai thông báo gì cả,
15914,Người tham gia ẩn danh 491 b cho m hỏi có thi lý thuyết ko ý,
15917,em liên hệ giảng viên để xin hoãn em nha .,
15918,"B ib mình tư vấn nha, gia sư 1:1 online bao chất lượng đầu ra, nói như người bản xứ luôn",
15919,Tiếng Trung Lâm Phong e nhé. gần Bệnh viện Đồng Nai,
15921,[NAME] những thầy dễ tính nhất trường DNTU,
15923,lí thuyết dễ ẹc bạn ơi muốn lấy file trắc nghiệm thì thả zép lào mình gửi cho nhé,
15926,Đợt mình học là flutter nha,
15927,Giờ bạn làm đơn đi xem đc ko,
15928,"✨📱 [NAME], LÀM VIỆC, [NAME] LÚC MỌI NƠI 📱✨
💥 Giá chỉ từ: 2.690.000đ
💳 Góp 0% – Trả trước từ 0đ
⚡ Duyệt hồ sơ nhanh chóng – nhận máy liền tay
💡 Màn hình lớn – học online, xem phim siêu đã
⚡ Xử lý nhanh – chia đôi màn hình, thao tác mượt
🔋 Pin khỏe – dùng dài lâu
🎒 Gọn nhẹ – mang đi học, đi làm hay đi chơi đều tiện
👨‍👩‍👧 Cả gia đình dùng thoải mái – bé học, bố mẹ giải trí
📦 Hàng mới 100% – Bảo hành chính hãng
☎️  Liên hệ em: 0382073379- [NAME]
🚚 Giao hàng, cài đặt tận nơi MIỄN PHÍ hoặc
🏡 Đến ngay FPTSHOP 660 Đồng Khởi( Ngã Tư Amata)",
15930,Từ từ rồi đăng ký =)) hiện tại môn tin của k18 còn đang xử lý chưa biết học cái nào mà,
15932,Học ngu lo mà học ở đó mà dùng tiền. Nhà m giàu nhỉ,
15933,"Hưng Phạm bạn có phân biệt được là “hướng dẫn để học với thi” không ạ. Mà cuộc sống bạn chắc chỉ đi ăn cắp của người khác thôi nhỉ nên không hiểu được công sức của người khác bỏ ra để dạy mình cũng phải mất phí chứ b, chỉ có c*t chim với nước mưa là miễn phí nhé",
15934,Người tham gia ẩn danh ngu thì câm,
15935,Người tham gia ẩn danh ai bạn bè vs m,
