id,content_anonymized,label
7058,Không lẻ có mình anh [NAME] mày mà tác giả viết hay đến vậy hả???,
7060,[NAME] duy khang ko biết gì nha,
7061,Quốc Vũ nữa...thánh lun,
7062,[NAME] tình cẻm thì ra công diên :))) lớp học chớ hok phải nn hixx,
7063,Mỹ Ngọc tự nhiên cái nay khoa y bị phốt à,
7064,Lưu Thị Hồng Ngọc giận gheeeee,
7065,Mỹ Ngọc mất’s quan điểm e nhỉ,
7066,[NAME] vâng đúng rùiiii,
7067,Khi ngta không biết ngại thì b sẽ là ng ngại,
7068,Mong rằng 2 bạn phải thật bình tĩnh như lúc chia tiền,
7069,Nên nghỉ học đi bạn ơi =))((,
7070,"đi xe buýt ngay đéo nào cũng gặp hai đứa trường mình ngồi dựa vào nhau, bộ gãy xương sống à",
7071,"[NAME] ây, ko nên dùng bạo lực anh bạn à, mà thật ra nó to hơn tui nó tháo khớp tui ấy",
7072,Cũng ước bị phốt như vậy trc khi ra trường 😳,
7073,Khá là liên quan đến chuyên ngành. Học đi đôi với hành đây sao😵‍💫,
7074,"Lớp học như nhà nghỉ thế b trẻ. Cần phòng ib đặt cho vài bungalow view vườn bao kín. K thì cho mượn phòng nè. Ở đây bao la, bao hú hí k ai biết, có mấy con thạch sùng với ễnh ương biết hoy. Chỗ mình ở bao cho các bạn bay nắc luôn nha",
7075,cũng mún cóa bồ giống dị :(((,
7076,"Antôn [NAME] khổ lắm lớp học chứ có ph công viên đâu, thiếu j chỗ thể hiện tình kảm... Làm v ngta oánh giá ớ🙃🙃🙃",
7077,[NAME] t đá bay ra khỏi lớp 😢,
7078,"[NAME] bic điều ma , phát ở ngoài thoaii",
7079,Sao khoa y năm 2 không có gì hết trơn vậy🥲,
7080,Lưu Thị Hồng Ngọc trưởng thành hơn năm nhất kkk,
7081,[NAME] cũng muốn đc ăn cơm chó mà khó quá,
7082,[NAME] thay vì mình ăn thì mình có thể phát mà,
7083,[NAME] ! Một thanh niên không có bồ vừa cho hay :…,
7084,Xời chuyện này bình thường. [NAME] xem phim free mà chê à.,
7085,Mình đính chính bạn đó là [NAME] . Thay mặt b mình xin lỗi b nhiều :))))),
7086,"độc thân hơi lâu nha bà , làm z chớt tui 😞",
7087,"Đây cũng khoa Y, năm cuối rồi mà sao nó lạ lắm :)))",
7088,"[NAME] hình như nói tao , t cũng năm nhất khoa Y 🙂",
7090,Tui hiểu cảm giác này mà 🤭🤭🤭,
7091,[NAME] bắt buộc rồi,
7092,Lạnh lẽo tâm hồn buốt giá con tim quá các a ơi 🤭🐣🐣,
7093,[NAME] cảm giác sao nè,
7094,[NAME] chưa thấy cảnh này bao g,
7095,khoa y lớp 19DHO1 đúng hông bạn 🥲🤧,
7096,kế toán mong muốn có ny để đc giống v 😂😂😂😂,
7097,Ngọcc [NAME] ủa dị đó hả,
7098,[NAME] thôi zề quê lấy chồng đi cho bằng bạn bằng bè,
7099,[NAME] về là về thế nào. mk thích zai CNTT trg mk lắm 😂😂😂,
7100,Ngọcc Ánhh bạn nói z làm trai CNTT tưởng thật đó,
7101,tưởng kiu dề quê lấy chồng cho pạng rồi kím cho tui mà sao kiu thích trai CNTT z ? =))),
7102,Kim Ngân ngân có r lên ánh k về nữa,
7103,Kim Ngân tất cả chỉ là dả dúi,
7104,[NAME] tui có ai trùi ?,
7105,[NAME] học ở khoa Y cả năm trời zẩn ch có pồ =))),
7107,Dạ em năm nhất 98 mấy ac ạ,
7108,Biết người ta đang độc thân không mà làm vậy 😂,
